Hour,FFR_mean,FCRD_mean,FCRN_up_mean,FCRN_down_mean
2021-01-01T00:00:00.0,0.0,0.0,0.15140444444444562,0.04427249999999929
2021-01-01T01:00:00.0,0.0,0.002374309046970704,0.3671867448126581,0.012481875503457932
2021-01-01T02:00:00.0,0.0,0.00023345383759724886,0.5844477196885403,0.0
2021-01-01T03:00:00.0,0.0,0.00038665592622417723,0.49660648315322975,0.0020324435432350083
2021-01-01T04:00:00.0,0.0,0.0,0.3756756756756769,0.01392905752617963
2021-01-01T05:00:00.0,0.0,0.0,0.16496012670539212,0.029041651615770766
2021-01-01T06:00:00.0,0.0,0.0,0.013928094018046084,0.22176172440682512
2021-01-01T07:00:00.0,0.0,0.0,0.01707475199105714,0.21872209026129485
2021-01-01T08:00:00.0,0.0,0.0,0.02020777777777714,0.20968472222224255
2021-01-01T09:00:00.0,0.0,0.0,0.020257978055112577,0.20222073317141434
2021-01-01T10:00:00.0,0.0,0.0,0.07266948798618865,0.3659275551967085
2021-01-01T11:00:00.0,0.0,1.0706935869617046e-5,0.27252600255854054,0.05286584348406244
2021-01-01T12:00:00.0,0.0,0.0,0.20741289491373774,0.03331727537530761
2021-01-01T13:00:00.0,0.0,0.0,0.04673716012084377,0.15031610160009873
2021-01-01T14:00:00.0,0.0,0.0,0.03810948458198699,0.14095235444729046
2021-01-01T15:00:00.0,0.0,0.0,0.1970561111111139,0.052162777777774776
2021-01-01T16:00:00.0,0.0,0.0,0.08762472222222047,0.1168852777777796
2021-01-01T17:00:00.0,0.0,0.0,0.02186166666666586,0.17508555555556138
2021-01-01T18:00:00.0,0.0,0.0,0.04370749999999713,0.15514111111111556
2021-01-01T19:00:00.0,0.0,0.0,0.021046784278695517,0.20543434569004293
2021-01-01T20:00:00.0,0.0,0.0,0.03723776613532209,0.21033468955523546
2021-01-01T21:00:00.0,0.0,0.0,0.05393638888888502,0.18702472222221922
2021-01-01T22:00:00.0,0.0,0.0,0.1054369444444422,0.06953777777777566
2021-01-01T23:00:00.0,0.0,1.9504583577095237e-6,0.04653180640307366,0.19987907158182505
2021-01-02T00:00:00.0,0.0,0.0,0.040867499999997746,0.22499638888889384
2021-01-02T01:00:00.0,0.0,0.0,0.028963611111109615,0.20331027777778463
2021-01-02T02:00:00.0,0.0,0.0,0.010996944444444096,0.2900813888889014
2021-01-02T03:00:00.0,0.0,0.0,0.13336805555555498,0.12383638888889086
2021-01-02T04:00:00.0,0.0,6.986111111106387e-5,0.5703513888888939,0.0002494444444444384
2021-01-02T05:00:00.0,0.0,0.0,0.23710973638746055,0.004325363651563314
2021-01-02T06:00:00.0,0.0,0.0,0.015787009947336842,0.2309551673214636
2021-01-02T07:00:00.0,0.0,0.00010906763862995223,0.2570841100692837,0.13741520825798464
2021-01-02T08:00:00.0,0.0,0.0,0.09455315827618808,0.08180687963427362
2021-01-02T09:00:00.0,0.0,0.0,0.05564083333333123,0.18147444444445252
2021-01-02T10:00:00.0,0.0,0.000325309586753813,0.1994882426603524,0.21316070683178345
2021-01-02T11:00:00.0,0.0,0.0016493273167875234,0.699137628478317,0.0
2021-01-02T12:00:00.0,0.0,0.0,0.3187060885044369,0.013114900008343885
2021-01-02T13:00:00.0,0.0,0.0,0.14442007403902668,0.050251064658888546
2021-01-02T14:00:00.0,0.0,0.0,0.33464083333333344,0.005470555555555511
2021-01-02T15:00:00.0,0.0,0.0,0.4335702777777732,0.0022702777777778385
2021-01-02T16:00:00.0,0.0,9.03472222221844e-5,0.38499583333332404,0.01298055555555534
2021-01-02T17:00:00.0,0.0,0.00013479060436343408,0.08590933155005612,0.09433252528629436
2021-01-02T18:00:00.0,0.0,0.0,0.05388848660390668,0.16682838522809376
2021-01-02T19:00:00.0,0.0,0.0,0.004879360303131534,0.3604577621754242
2021-01-02T20:00:00.0,0.0,0.0,0.0035625000000000222,0.3660263888888898
2021-01-02T21:00:00.0,0.0,0.0,0.036512222222220087,0.3401722222222158
2021-01-02T22:00:00.0,0.0,0.0,0.07174420868210717,0.15529325064657118
2021-01-02T23:00:00.0,0.0,0.0,0.037214999999999485,0.20357000000000292
2021-01-03T00:00:00.0,0.0,0.0,0.05281264773769883,0.11875413665563485
2021-01-03T01:00:00.0,0.0,0.00026416666666661675,0.27889777777777736,0.13700694444444175
2021-01-03T02:00:00.0,0.0,0.0,0.052332777777774814,0.25994000000001727
2021-01-03T03:00:00.0,0.0,0.0,0.002556111111111106,0.3927800000000033
2021-01-03T04:00:00.0,0.0,0.0,0.042281944444442214,0.13806527777778396
2021-01-03T05:00:00.0,0.0,0.0,0.2737964278748363,0.012463707542700745
2021-01-03T06:00:00.0,0.0,0.0,0.23993284289138386,0.005801426740232634
2021-01-03T07:00:00.0,0.0,0.0,0.017863002232142627,0.22940318080358213
2021-01-03T08:00:00.0,0.0,0.0,0.0012591666666666613,0.5767861111110915
2021-01-03T09:00:00.0,0.0,0.0,0.06270194444444038,0.09578888888888741
2021-01-03T10:00:00.0,0.0,0.0,0.09357111111110779,0.07856555555555285
2021-01-03T11:00:00.0,0.0,0.0002333129039446839,0.26128677289948293,0.11105220637396589
2021-01-03T12:00:00.0,0.0,0.000549223952963365,0.3620269178253926,0.08844456209769445
2021-01-03T13:00:00.0,0.0,0.0,7.55400696863826e-5,0.6777605574912978
2021-01-03T14:00:00.0,0.0,0.0,0.034086388888888125,0.1724544444444458
2021-01-03T15:00:00.0,0.0,0.0,0.2052952777777794,0.07393611111110865
2021-01-03T16:00:00.0,0.0,1.7222222222214214e-5,0.37718861111111773,0.011972222222221785
