DateTime;Middeltemperatur;Maksimumtemperatur;Minimumtemperatur
01-03-2021 00:00;-0.1;1;-1.3
01-03-2021 01:00;-0.1;1;-1.3
01-03-2021 02:00;-0.1;0.5;-1
01-03-2021 03:00;0.6;1.1;0.2
01-03-2021 04:00;0.8;1;0.6
01-03-2021 05:00;0.9;1;0.8
01-03-2021 06:00;0.7;1;0.3
01-03-2021 07:00;0.4;1;0.2
01-03-2021 08:00;1.3;1.8;1
01-03-2021 09:00;2.5;3.2;1.8
01-03-2021 10:00;3.6;4.1;3.1
01-03-2021 11:00;4.3;4.6;4
01-03-2021 12:00;5.1;5.4;4.5
01-03-2021 13:00;5.5;5.8;5.3
01-03-2021 14:00;5.7;6.4;5.5
01-03-2021 15:00;6.2;7;5.6
01-03-2021 16:00;6.9;7.1;6.7
01-03-2021 17:00;6;6.7;5.2
01-03-2021 18:00;4.7;5.3;4.1
01-03-2021 19:00;3.3;4.2;1.2
01-03-2021 20:00;2.4;3;0.9
01-03-2021 21:00;1.9;2.9;1.1
01-03-2021 22:00;1.4;1.9;0.7
01-03-2021 23:00;1.8;2.4;1.1
02-03-2021 00:00;2.1;2.3;1.9
02-03-2021 01:00;1.7;1.9;1.4
02-03-2021 02:00;0.8;1.5;0.5
02-03-2021 03:00;0.4;0.8;0.1
02-03-2021 04:00;0.2;0.5;0
02-03-2021 05:00;0.5;0.6;0.3
02-03-2021 06:00;0.3;0.5;0.2
02-03-2021 07:00;0.9;1.3;0.5
02-03-2021 08:00;1.6;1.7;1.2
02-03-2021 09:00;1.9;2.2;1.7
02-03-2021 10:00;2.1;2.2;1.9
02-03-2021 11:00;2.1;2.4;1.9
02-03-2021 12:00;2.2;2.4;2
02-03-2021 13:00;2.4;2.6;2.1
02-03-2021 14:00;2.6;2.8;2.3
02-03-2021 15:00;2.6;2.9;2.4
02-03-2021 16:00;2.5;2.8;2.4
02-03-2021 17:00;2.2;2.5;2
02-03-2021 18:00;2.1;2.2;1.9
02-03-2021 19:00;1.9;2.1;1.7
02-03-2021 20:00;1.6;1.8;1.5
02-03-2021 21:00;1.4;1.6;1.1
02-03-2021 22:00;1.2;1.2;1.1
02-03-2021 23:00;0.9;1.2;0.3
03-03-2021 00:00;0.4;0.5;0.3
03-03-2021 01:00;0;0.4;-0.2
03-03-2021 02:00;-0.4;0;-0.7
03-03-2021 03:00;-0.8;-0.7;-0.9
03-03-2021 04:00;-0.8;-0.6;-0.9
03-03-2021 05:00;-0.7;-0.5;-1
03-03-2021 06:00;-1;-0.9;-1.1
03-03-2021 07:00;-1.1;-0.8;-1.2
03-03-2021 08:00;-1;-0.7;-1.3
