"Start time UTC","End time UTC","Start time UTC+01:00","End time UTC+01:00","Frequency - real time data"
"2021-01-01 01:43:00","2021-01-01 01:43:00","2021-01-01 02:43:00","2021-01-01 02:43:00","49.96"
"2021-01-01 01:46:00","2021-01-01 01:46:00","2021-01-01 02:46:00","2021-01-01 02:46:00","49.936"
"2021-01-01 01:49:00","2021-01-01 01:49:00","2021-01-01 02:49:00","2021-01-01 02:49:00","49.957"
"2021-01-01 01:52:00","2021-01-01 01:52:00","2021-01-01 02:52:00","2021-01-01 02:52:00","49.956"
"2021-01-01 01:55:00","2021-01-01 01:55:00","2021-01-01 02:55:00","2021-01-01 02:55:00","49.947"
"2021-01-01 01:58:00","2021-01-01 01:58:00","2021-01-01 02:58:00","2021-01-01 02:58:00","49.945"
"2021-01-01 02:01:00","2021-01-01 02:01:00","2021-01-01 03:01:00","2021-01-01 03:01:00","49.947"
"2021-01-01 02:04:00","2021-01-01 02:04:00","2021-01-01 03:04:00","2021-01-01 03:04:00","49.947"
"2021-01-01 02:07:00","2021-01-01 02:07:00","2021-01-01 03:07:00","2021-01-01 03:07:00","49.924"
"2021-01-01 02:10:00","2021-01-01 02:10:00","2021-01-01 03:10:00","2021-01-01 03:10:00","49.943"
"2021-01-01 02:13:00","2021-01-01 02:13:00","2021-01-01 03:13:00","2021-01-01 03:13:00","49.933"
"2021-01-01 02:16:00","2021-01-01 02:16:00","2021-01-01 03:16:00","2021-01-01 03:16:00","49.91"
"2021-01-01 02:19:00","2021-01-01 02:19:00","2021-01-01 03:19:00","2021-01-01 03:19:00","49.91"
"2021-01-01 02:22:00","2021-01-01 02:22:00","2021-01-01 03:22:00","2021-01-01 03:22:00","49.909"
"2021-01-01 02:25:00","2021-01-01 02:25:00","2021-01-01 03:25:00","2021-01-01 03:25:00","49.913"
"2021-01-01 02:28:00","2021-01-01 02:28:00","2021-01-01 03:28:00","2021-01-01 03:28:00","49.93"
"2021-01-01 02:31:00","2021-01-01 02:31:00","2021-01-01 03:31:00","2021-01-01 03:31:00","49.936"
"2021-01-01 02:34:00","2021-01-01 02:34:00","2021-01-01 03:34:00","2021-01-01 03:34:00","49.956"
"2021-01-01 02:37:00","2021-01-01 02:37:00","2021-01-01 03:37:00","2021-01-01 03:37:00","49.978"
"2021-01-01 02:40:00","2021-01-01 02:40:00","2021-01-01 03:40:00","2021-01-01 03:40:00","49.978"
"2021-01-01 02:43:00","2021-01-01 02:43:00","2021-01-01 03:43:00","2021-01-01 03:43:00","49.975"
"2021-01-01 02:46:00","2021-01-01 02:46:00","2021-01-01 03:46:00","2021-01-01 03:46:00","49.968"
"2021-01-01 02:49:00","2021-01-01 02:49:00","2021-01-01 03:49:00","2021-01-01 03:49:00","49.979"
"2021-01-01 02:52:00","2021-01-01 02:52:00","2021-01-01 03:52:00","2021-01-01 03:52:00","49.966"
"2021-01-01 02:55:00","2021-01-01 02:55:00","2021-01-01 03:55:00","2021-01-01 03:55:00","49.967"
"2021-01-01 02:58:00","2021-01-01 02:58:00","2021-01-01 03:58:00","2021-01-01 03:58:00","49.979"
"2021-01-01 03:01:00","2021-01-01 03:01:00","2021-01-01 04:01:00","2021-01-01 04:01:00","49.963"
"2021-01-01 03:04:00","2021-01-01 03:04:00","2021-01-01 04:04:00","2021-01-01 04:04:00","49.956"
"2021-01-01 03:07:00","2021-01-01 03:07:00","2021-01-01 04:07:00","2021-01-01 04:07:00","49.962"
"2021-01-01 03:10:00","2021-01-01 03:10:00","2021-01-01 04:10:00","2021-01-01 04:10:00","49.953"
"2021-01-01 03:13:00","2021-01-01 03:13:00","2021-01-01 04:13:00","2021-01-01 04:13:00","49.958"
"2021-01-01 03:16:00","2021-01-01 03:16:00","2021-01-01 04:16:00","2021-01-01 04:16:00","49.974"
"2021-01-01 03:19:00","2021-01-01 03:19:00","2021-01-01 04:19:00","2021-01-01 04:19:00","49.958"
"2021-01-01 03:22:00","2021-01-01 03:22:00","2021-01-01 04:22:00","2021-01-01 04:22:00","49.947"
"2021-01-01 03:25:00","2021-01-01 03:25:00","2021-01-01 04:25:00","2021-01-01 04:25:00","49.991"
"2021-01-01 03:28:00","2021-01-01 03:28:00","2021-01-01 04:28:00","2021-01-01 04:28:00","49.975"
"2021-01-01 03:31:00","2021-01-01 03:31:00","2021-01-01 04:31:00","2021-01-01 04:31:00","49.978"
"2021-01-01 03:34:00","2021-01-01 03:34:00","2021-01-01 04:34:00","2021-01-01 04:34:00","49.961"
"2021-01-01 03:37:00","2021-01-01 03:37:00","2021-01-01 04:37:00","2021-01-01 04:37:00","49.959"
"2021-01-01 03:40:00","2021-01-01 03:40:00","2021-01-01 04:40:00","2021-01-01 04:40:00","49.966"
"2021-01-01 03:43:00","2021-01-01 03:43:00","2021-01-01 04:43:00","2021-01-01 04:43:00","49.969"
"2021-01-01 03:46:00","2021-01-01 03:46:00","2021-01-01 04:46:00","2021-01-01 04:46:00","49.988"
"2021-01-01 03:49:00","2021-01-01 03:49:00","2021-01-01 04:49:00","2021-01-01 04:49:00","49.984"
"2021-01-01 03:52:00","2021-01-01 03:52:00","2021-01-01 04:52:00","2021-01-01 04:52:00","49.988"
"2021-01-01 03:55:00","2021-01-01 03:55:00","2021-01-01 04:55:00","2021-01-01 04:55:00","49.995"
"2021-01-01 03:58:00","2021-01-01 03:58:00","2021-01-01 04:58:00","2021-01-01 04:58:00","49.999"
"2021-01-01 04:01:00","2021-01-01 04:01:00","2021-01-01 05:01:00","2021-01-01 05:01:00","50.014"
"2021-01-01 04:04:00","2021-01-01 04:04:00","2021-01-01 05:04:00","2021-01-01 05:04:00","49.994"
"2021-01-01 04:07:00","2021-01-01 04:07:00","2021-01-01 05:07:00","2021-01-01 05:07:00","50.007"
"2021-01-01 04:10:00","2021-01-01 04:10:00","2021-01-01 05:10:00","2021-01-01 05:10:00","49.983"
"2021-01-01 04:13:00","2021-01-01 04:13:00","2021-01-01 05:13:00","2021-01-01 05:13:00","49.989"
"2021-01-01 04:16:00","2021-01-01 04:16:00","2021-01-01 05:16:00","2021-01-01 05:16:00","50.001"
"2021-01-01 04:19:00","2021-01-01 04:19:00","2021-01-01 05:19:00","2021-01-01 05:19:00","50.016"
"2021-01-01 04:22:00","2021-01-01 04:22:00","2021-01-01 05:22:00","2021-01-01 05:22:00","50.004"
"2021-01-01 04:25:00","2021-01-01 04:25:00","2021-01-01 05:25:00","2021-01-01 05:25:00","49.999"
"2021-01-01 04:28:00","2021-01-01 04:28:00","2021-01-01 05:28:00","2021-01-01 05:28:00","49.992"
"2021-01-01 04:31:00","2021-01-01 04:31:00","2021-01-01 05:31:00","2021-01-01 05:31:00","50.006"
"2021-01-01 04:34:00","2021-01-01 04:34:00","2021-01-01 05:34:00","2021-01-01 05:34:00","49.997"
"2021-01-01 04:37:00","2021-01-01 04:37:00","2021-01-01 05:37:00","2021-01-01 05:37:00","49.974"
"2021-01-01 04:40:00","2021-01-01 04:40:00","2021-01-01 05:40:00","2021-01-01 05:40:00","49.982"
"2021-01-01 04:43:00","2021-01-01 04:43:00","2021-01-01 05:43:00","2021-01-01 05:43:00","49.971"
"2021-01-01 04:46:00","2021-01-01 04:46:00","2021-01-01 05:46:00","2021-01-01 05:46:00","50.009"
"2021-01-01 04:49:00","2021-01-01 04:49:00","2021-01-01 05:49:00","2021-01-01 05:49:00","50.028"
"2021-01-01 04:52:00","2021-01-01 04:52:00","2021-01-01 05:52:00","2021-01-01 05:52:00","50.0"
"2021-01-01 04:55:00","2021-01-01 04:55:00","2021-01-01 05:55:00","2021-01-01 05:55:00","49.986"
"2021-01-01 04:58:00","2021-01-01 04:58:00","2021-01-01 05:58:00","2021-01-01 05:58:00","50.017"
"2021-01-01 05:01:00","2021-01-01 05:01:00","2021-01-01 06:01:00","2021-01-01 06:01:00","50.061"
"2021-01-01 05:04:00","2021-01-01 05:04:00","2021-01-01 06:04:00","2021-01-01 06:04:00","50.026"
"2021-01-01 05:07:00","2021-01-01 05:07:00","2021-01-01 06:07:00","2021-01-01 06:07:00","49.986"
"2021-01-01 05:10:00","2021-01-01 05:10:00","2021-01-01 06:10:00","2021-01-01 06:10:00","49.975"
"2021-01-01 05:13:00","2021-01-01 05:13:00","2021-01-01 06:13:00","2021-01-01 06:13:00","50.007"
"2021-01-01 05:16:00","2021-01-01 05:16:00","2021-01-01 06:16:00","2021-01-01 06:16:00","50.019"
"2021-01-01 05:19:00","2021-01-01 05:19:00","2021-01-01 06:19:00","2021-01-01 06:19:00","50.025"
"2021-01-01 05:22:00","2021-01-01 05:22:00","2021-01-01 06:22:00","2021-01-01 06:22:00","50.011"
"2021-01-01 05:25:00","2021-01-01 05:25:00","2021-01-01 06:25:00","2021-01-01 06:25:00","49.998"
"2021-01-01 05:28:00","2021-01-01 05:28:00","2021-01-01 06:28:00","2021-01-01 06:28:00","49.99"
"2021-01-01 05:31:00","2021-01-01 05:31:00","2021-01-01 06:31:00","2021-01-01 06:31:00","50.02"
"2021-01-01 05:34:00","2021-01-01 05:34:00","2021-01-01 06:34:00","2021-01-01 06:34:00","50.021"
"2021-01-01 05:37:00","2021-01-01 05:37:00","2021-01-01 06:37:00","2021-01-01 06:37:00","49.998"
"2021-01-01 05:40:00","2021-01-01 05:40:00","2021-01-01 06:40:00","2021-01-01 06:40:00","49.989"
"2021-01-01 05:43:00","2021-01-01 05:43:00","2021-01-01 06:43:00","2021-01-01 06:43:00","49.98"
"2021-01-01 05:46:00","2021-01-01 05:46:00","2021-01-01 06:46:00","2021-01-01 06:46:00","50.004"
"2021-01-01 05:49:00","2021-01-01 05:49:00","2021-01-01 06:49:00","2021-01-01 06:49:00","50.015"
"2021-01-01 05:52:00","2021-01-01 05:52:00","2021-01-01 06:52:00","2021-01-01 06:52:00","49.995"
"2021-01-01 05:55:00","2021-01-01 05:55:00","2021-01-01 06:55:00","2021-01-01 06:55:00","49.995"
"2021-01-01 05:58:00","2021-01-01 05:58:00","2021-01-01 06:58:00","2021-01-01 06:58:00","50.004"
"2021-01-01 06:01:00","2021-01-01 06:01:00","2021-01-01 07:01:00","2021-01-01 07:01:00","50.037"
"2021-01-01 06:04:00","2021-01-01 06:04:00","2021-01-01 07:04:00","2021-01-01 07:04:00","50.045"
"2021-01-01 06:07:00","2021-01-01 06:07:00","2021-01-01 07:07:00","2021-01-01 07:07:00","50.018"
"2021-01-01 06:10:00","2021-01-01 06:10:00","2021-01-01 07:10:00","2021-01-01 07:10:00","50.031"
"2021-01-01 06:13:00","2021-01-01 06:13:00","2021-01-01 07:13:00","2021-01-01 07:13:00","50.009"
"2021-01-01 06:16:00","2021-01-01 06:16:00","2021-01-01 07:16:00","2021-01-01 07:16:00","49.992"
"2021-01-01 06:19:00","2021-01-01 06:19:00","2021-01-01 07:19:00","2021-01-01 07:19:00","49.998"
"2021-01-01 06:22:00","2021-01-01 06:22:00","2021-01-01 07:22:00","2021-01-01 07:22:00","50.009"
"2021-01-01 06:25:00","2021-01-01 06:25:00","2021-01-01 07:25:00","2021-01-01 07:25:00","50.008"
"2021-01-01 06:28:00","2021-01-01 06:28:00","2021-01-01 07:28:00","2021-01-01 07:28:00","50.002"
"2021-01-01 06:31:00","2021-01-01 06:31:00","2021-01-01 07:31:00","2021-01-01 07:31:00","50.018"
"2021-01-01 06:34:00","2021-01-01 06:34:00","2021-01-01 07:34:00","2021-01-01 07:34:00","49.986"
"2021-01-01 06:37:00","2021-01-01 06:37:00","2021-01-01 07:37:00","2021-01-01 07:37:00","49.986"
"2021-01-01 06:40:00","2021-01-01 06:40:00","2021-01-01 07:40:00","2021-01-01 07:40:00","49.984"
"2021-01-01 06:43:00","2021-01-01 06:43:00","2021-01-01 07:43:00","2021-01-01 07:43:00","50.003"
"2021-01-01 06:46:00","2021-01-01 06:46:00","2021-01-01 07:46:00","2021-01-01 07:46:00","49.985"
"2021-01-01 06:49:00","2021-01-01 06:49:00","2021-01-01 07:49:00","2021-01-01 07:49:00","49.992"
"2021-01-01 06:52:00","2021-01-01 06:52:00","2021-01-01 07:52:00","2021-01-01 07:52:00","49.985"
"2021-01-01 06:55:00","2021-01-01 06:55:00","2021-01-01 07:55:00","2021-01-01 07:55:00","49.989"
"2021-01-01 06:58:00","2021-01-01 06:58:00","2021-01-01 07:58:00","2021-01-01 07:58:00","50.01"
"2021-01-01 07:01:00","2021-01-01 07:01:00","2021-01-01 08:01:00","2021-01-01 08:01:00","50.022"
"2021-01-01 07:04:00","2021-01-01 07:04:00","2021-01-01 08:04:00","2021-01-01 08:04:00","50.016"
"2021-01-01 07:07:00","2021-01-01 07:07:00","2021-01-01 08:07:00","2021-01-01 08:07:00","50.011"
"2021-01-01 07:10:00","2021-01-01 07:10:00","2021-01-01 08:10:00","2021-01-01 08:10:00","49.989"
"2021-01-01 07:13:00","2021-01-01 07:13:00","2021-01-01 08:13:00","2021-01-01 08:13:00","49.981"
"2021-01-01 07:16:00","2021-01-01 07:16:00","2021-01-01 08:16:00","2021-01-01 08:16:00","50.019"
"2021-01-01 07:19:00","2021-01-01 07:19:00","2021-01-01 08:19:00","2021-01-01 08:19:00","50.04"
"2021-01-01 07:22:00","2021-01-01 07:22:00","2021-01-01 08:22:00","2021-01-01 08:22:00","50.018"
"2021-01-01 07:25:00","2021-01-01 07:25:00","2021-01-01 08:25:00","2021-01-01 08:25:00","50.017"
"2021-01-01 07:28:00","2021-01-01 07:28:00","2021-01-01 08:28:00","2021-01-01 08:28:00","49.986"
"2021-01-01 07:31:00","2021-01-01 07:31:00","2021-01-01 08:31:00","2021-01-01 08:31:00","49.971"
"2021-01-01 07:34:00","2021-01-01 07:34:00","2021-01-01 08:34:00","2021-01-01 08:34:00","49.988"
"2021-01-01 07:37:00","2021-01-01 07:37:00","2021-01-01 08:37:00","2021-01-01 08:37:00","49.997"
"2021-01-01 07:40:00","2021-01-01 07:40:00","2021-01-01 08:40:00","2021-01-01 08:40:00","49.994"
"2021-01-01 07:43:00","2021-01-01 07:43:00","2021-01-01 08:43:00","2021-01-01 08:43:00","49.998"
"2021-01-01 07:46:00","2021-01-01 07:46:00","2021-01-01 08:46:00","2021-01-01 08:46:00","50.003"
"2021-01-01 07:49:00","2021-01-01 07:49:00","2021-01-01 08:49:00","2021-01-01 08:49:00","49.995"
"2021-01-01 07:52:00","2021-01-01 07:52:00","2021-01-01 08:52:00","2021-01-01 08:52:00","49.994"
"2021-01-01 07:55:00","2021-01-01 07:55:00","2021-01-01 08:55:00","2021-01-01 08:55:00","50.014"
"2021-01-01 07:58:00","2021-01-01 07:58:00","2021-01-01 08:58:00","2021-01-01 08:58:00","50.003"
"2021-01-01 08:01:00","2021-01-01 08:01:00","2021-01-01 09:01:00","2021-01-01 09:01:00","50.024"
"2021-01-01 08:04:00","2021-01-01 08:04:00","2021-01-01 09:04:00","2021-01-01 09:04:00","50.074"
"2021-01-01 08:07:00","2021-01-01 08:07:00","2021-01-01 09:07:00","2021-01-01 09:07:00","50.056"
"2021-01-01 08:10:00","2021-01-01 08:10:00","2021-01-01 09:10:00","2021-01-01 09:10:00","50.06"
"2021-01-01 08:13:00","2021-01-01 08:13:00","2021-01-01 09:13:00","2021-01-01 09:13:00","50.057"
"2021-01-01 08:16:00","2021-01-01 08:16:00","2021-01-01 09:16:00","2021-01-01 09:16:00","50.077"
"2021-01-01 08:19:00","2021-01-01 08:19:00","2021-01-01 09:19:00","2021-01-01 09:19:00","50.06"
"2021-01-01 08:22:00","2021-01-01 08:22:00","2021-01-01 09:22:00","2021-01-01 09:22:00","50.043"
"2021-01-01 08:25:00","2021-01-01 08:25:00","2021-01-01 09:25:00","2021-01-01 09:25:00","50.038"
"2021-01-01 08:28:00","2021-01-01 08:28:00","2021-01-01 09:28:00","2021-01-01 09:28:00","50.019"
"2021-01-01 08:31:00","2021-01-01 08:31:00","2021-01-01 09:31:00","2021-01-01 09:31:00","50.012"
"2021-01-01 08:34:00","2021-01-01 08:34:00","2021-01-01 09:34:00","2021-01-01 09:34:00","49.998"
"2021-01-01 08:37:00","2021-01-01 08:37:00","2021-01-01 09:37:00","2021-01-01 09:37:00","50.01"
"2021-01-01 08:40:00","2021-01-01 08:40:00","2021-01-01 09:40:00","2021-01-01 09:40:00","49.988"
"2021-01-01 08:43:00","2021-01-01 08:43:00","2021-01-01 09:43:00","2021-01-01 09:43:00","49.984"
"2021-01-01 08:46:00","2021-01-01 08:46:00","2021-01-01 09:46:00","2021-01-01 09:46:00","49.959"
"2021-01-01 08:49:00","2021-01-01 08:49:00","2021-01-01 09:49:00","2021-01-01 09:49:00","49.957"
"2021-01-01 08:52:00","2021-01-01 08:52:00","2021-01-01 09:52:00","2021-01-01 09:52:00","49.951"
"2021-01-01 08:55:00","2021-01-01 08:55:00","2021-01-01 09:55:00","2021-01-01 09:55:00","49.943"
"2021-01-01 08:58:00","2021-01-01 08:58:00","2021-01-01 09:58:00","2021-01-01 09:58:00","49.981"
"2021-01-01 09:01:00","2021-01-01 09:01:00","2021-01-01 10:01:00","2021-01-01 10:01:00","50.012"
"2021-01-01 09:04:00","2021-01-01 09:04:00","2021-01-01 10:04:00","2021-01-01 10:04:00","50.022"
"2021-01-01 09:07:00","2021-01-01 09:07:00","2021-01-01 10:07:00","2021-01-01 10:07:00","50.023"
"2021-01-01 09:10:00","2021-01-01 09:10:00","2021-01-01 10:10:00","2021-01-01 10:10:00","49.995"
"2021-01-01 09:13:00","2021-01-01 09:13:00","2021-01-01 10:13:00","2021-01-01 10:13:00","49.964"
"2021-01-01 09:16:00","2021-01-01 09:16:00","2021-01-01 10:16:00","2021-01-01 10:16:00","49.963"
"2021-01-01 09:19:00","2021-01-01 09:19:00","2021-01-01 10:19:00","2021-01-01 10:19:00","49.977"
"2021-01-01 09:22:00","2021-01-01 09:22:00","2021-01-01 10:22:00","2021-01-01 10:22:00","49.97"
"2021-01-01 09:25:00","2021-01-01 09:25:00","2021-01-01 10:25:00","2021-01-01 10:25:00","49.982"
"2021-01-01 09:28:00","2021-01-01 09:28:00","2021-01-01 10:28:00","2021-01-01 10:28:00","49.953"
"2021-01-01 09:31:00","2021-01-01 09:31:00","2021-01-01 10:31:00","2021-01-01 10:31:00","49.936"
"2021-01-01 09:34:00","2021-01-01 09:34:00","2021-01-01 10:34:00","2021-01-01 10:34:00","49.955"
"2021-01-01 09:37:00","2021-01-01 09:37:00","2021-01-01 10:37:00","2021-01-01 10:37:00","49.928"
"2021-01-01 09:40:00","2021-01-01 09:40:00","2021-01-01 10:40:00","2021-01-01 10:40:00","49.932"
"2021-01-01 09:43:00","2021-01-01 09:43:00","2021-01-01 10:43:00","2021-01-01 10:43:00","49.937"
"2021-01-01 09:46:00","2021-01-01 09:46:00","2021-01-01 10:46:00","2021-01-01 10:46:00","49.922"
"2021-01-01 09:49:00","2021-01-01 09:49:00","2021-01-01 10:49:00","2021-01-01 10:49:00","49.962"
"2021-01-01 09:52:00","2021-01-01 09:52:00","2021-01-01 10:52:00","2021-01-01 10:52:00","49.956"
"2021-01-01 09:55:00","2021-01-01 09:55:00","2021-01-01 10:55:00","2021-01-01 10:55:00","49.953"
"2021-01-01 09:58:00","2021-01-01 09:58:00","2021-01-01 10:58:00","2021-01-01 10:58:00","49.944"
"2021-01-01 10:01:00","2021-01-01 10:01:00","2021-01-01 11:01:00","2021-01-01 11:01:00","49.981"
"2021-01-01 10:04:00","2021-01-01 10:04:00","2021-01-01 11:04:00","2021-01-01 11:04:00","49.975"
"2021-01-01 10:07:00","2021-01-01 10:07:00","2021-01-01 11:07:00","2021-01-01 11:07:00","49.994"
"2021-01-01 10:10:00","2021-01-01 10:10:00","2021-01-01 11:10:00","2021-01-01 11:10:00","49.984"
"2021-01-01 10:13:00","2021-01-01 10:13:00","2021-01-01 11:13:00","2021-01-01 11:13:00","49.977"
"2021-01-01 10:16:00","2021-01-01 10:16:00","2021-01-01 11:16:00","2021-01-01 11:16:00","49.981"
"2021-01-01 10:19:00","2021-01-01 10:19:00","2021-01-01 11:19:00","2021-01-01 11:19:00","49.983"
"2021-01-01 10:22:00","2021-01-01 10:22:00","2021-01-01 11:22:00","2021-01-01 11:22:00","49.968"
"2021-01-01 10:25:00","2021-01-01 10:25:00","2021-01-01 11:25:00","2021-01-01 11:25:00","49.95"
"2021-01-01 10:28:00","2021-01-01 10:28:00","2021-01-01 11:28:00","2021-01-01 11:28:00","49.947"
"2021-01-01 10:31:00","2021-01-01 10:31:00","2021-01-01 11:31:00","2021-01-01 11:31:00","49.937"
"2021-01-01 10:34:00","2021-01-01 10:34:00","2021-01-01 11:34:00","2021-01-01 11:34:00","49.933"
"2021-01-01 10:37:00","2021-01-01 10:37:00","2021-01-01 11:37:00","2021-01-01 11:37:00","49.93"
"2021-01-01 10:40:00","2021-01-01 10:40:00","2021-01-01 11:40:00","2021-01-01 11:40:00","49.976"
"2021-01-01 10:43:00","2021-01-01 10:43:00","2021-01-01 11:43:00","2021-01-01 11:43:00","49.966"
"2021-01-01 10:46:00","2021-01-01 10:46:00","2021-01-01 11:46:00","2021-01-01 11:46:00","49.982"
"2021-01-01 10:49:00","2021-01-01 10:49:00","2021-01-01 11:49:00","2021-01-01 11:49:00","49.968"
"2021-01-01 10:52:00","2021-01-01 10:52:00","2021-01-01 11:52:00","2021-01-01 11:52:00","49.949"
"2021-01-01 10:55:00","2021-01-01 10:55:00","2021-01-01 11:55:00","2021-01-01 11:55:00","49.96"
