DateTime;Middeltemperatur;Maksimumtemperatur;Minimumtemperatur
01-06-2021 00:00;13.7;13.9;13.4
01-06-2021 01:00;13.1;13.6;12.4
01-06-2021 02:00;11.9;12.4;11.1
01-06-2021 03:00;11.4;11.8;11.1
01-06-2021 04:00;12.2;12.4;11.7
01-06-2021 05:00;12.7;12.9;12.4
01-06-2021 06:00;13.1;13.6;12.8
01-06-2021 07:00;14.1;14.7;13.5
01-06-2021 08:00;15.3;15.7;14.6
01-06-2021 09:00;15.9;16.2;15.5
01-06-2021 10:00;16.3;16.7;15.9
01-06-2021 11:00;16.6;17.2;16.1
01-06-2021 12:00;17.2;18;16.7
01-06-2021 13:00;19.2;20.2;17.9
01-06-2021 14:00;19.8;20.3;19.2
01-06-2021 15:00;19.8;20.5;18.6
01-06-2021 16:00;18.2;18.7;18
01-06-2021 17:00;15.8;18;14.7
01-06-2021 18:00;14.2;14.8;13.8
01-06-2021 19:00;13.3;13.8;12.9
01-06-2021 20:00;12.7;13;12.5
01-06-2021 21:00;12.3;12.6;12.1
01-06-2021 22:00;11.8;12.2;11.4
01-06-2021 23:00;11.8;12.1;11.5
02-06-2021 00:00;10.6;11.5;10.1
02-06-2021 01:00;8.8;10.2;8.3
02-06-2021 02:00;8.7;9.2;8.2
02-06-2021 03:00;10;10.9;9.1
02-06-2021 04:00;10.3;10.7;10
02-06-2021 05:00;10.6;10.8;10.4
02-06-2021 06:00;11.1;12.6;10.4
02-06-2021 07:00;11.7;12.5;11.4
02-06-2021 08:00;11.7;12.4;11.3
02-06-2021 09:00;12.4;13.2;12
02-06-2021 10:00;13.2;13.6;12.5
02-06-2021 11:00;14.1;15.4;13.2
02-06-2021 12:00;15.5;16.1;15.1
02-06-2021 13:00;16.3;16.7;15.7
02-06-2021 14:00;17;17.5;16.5
02-06-2021 15:00;18.1;18.7;17.1
02-06-2021 16:00;18.8;19.3;18.5
02-06-2021 17:00;18.5;18.7;18.2
02-06-2021 18:00;17.9;18.3;17.3
02-06-2021 19:00;16.7;17.4;15.9
02-06-2021 20:00;15.3;16;14.6
02-06-2021 21:00;14.1;14.6;13.7
02-06-2021 22:00;13.7;13.9;13.5
