HourUTC;HourDK;PriceArea;ConsumerType_DE35;TotalCon
2020-12-31 23:00;2021-01-01 00:00;DK2;123;10159
2021-01-01 00:00;2021-01-01 01:00;DK2;123;9946
2021-01-01 01:00;2021-01-01 02:00;DK2;123;9556
2021-01-01 02:00;2021-01-01 03:00;DK2;123;9210
2021-01-01 03:00;2021-01-01 04:00;DK2;123;9044
2021-01-01 04:00;2021-01-01 05:00;DK2;123;8997
2021-01-01 05:00;2021-01-01 06:00;DK2;123;9095
2021-01-01 06:00;2021-01-01 07:00;DK2;123;9196
2021-01-01 07:00;2021-01-01 08:00;DK2;123;9679
2021-01-01 08:00;2021-01-01 09:00;DK2;123;10364
2021-01-01 09:00;2021-01-01 10:00;DK2;123;11046
2021-01-01 10:00;2021-01-01 11:00;DK2;123;11419
2021-01-01 11:00;2021-01-01 12:00;DK2;123;11446
2021-01-01 12:00;2021-01-01 13:00;DK2;123;11283
2021-01-01 13:00;2021-01-01 14:00;DK2;123;11258
2021-01-01 14:00;2021-01-01 15:00;DK2;123;11344
2021-01-01 15:00;2021-01-01 16:00;DK2;123;11807
2021-01-01 16:00;2021-01-01 17:00;DK2;123;12540
2021-01-01 17:00;2021-01-01 18:00;DK2;123;12411
2021-01-01 18:00;2021-01-01 19:00;DK2;123;12013
2021-01-01 19:00;2021-01-01 20:00;DK2;123;11152
2021-01-01 20:00;2021-01-01 21:00;DK2;123;10687
2021-01-01 21:00;2021-01-01 22:00;DK2;123;10168
2021-01-01 22:00;2021-01-01 23:00;DK2;123;9671
2021-01-01 23:00;2021-01-02 00:00;DK2;123;9279
2021-01-02 00:00;2021-01-02 01:00;DK2;123;9034
2021-01-02 01:00;2021-01-02 02:00;DK2;123;8882
2021-01-02 02:00;2021-01-02 03:00;DK2;123;8825
2021-01-02 03:00;2021-01-02 04:00;DK2;123;8965
2021-01-02 04:00;2021-01-02 05:00;DK2;123;9250
2021-01-02 05:00;2021-01-02 06:00;DK2;123;9647
2021-01-02 06:00;2021-01-02 07:00;DK2;123;10182
2021-01-02 07:00;2021-01-02 08:00;DK2;123;11170
2021-01-02 08:00;2021-01-02 09:00;DK2;123;11982
2021-01-02 09:00;2021-01-02 10:00;DK2;123;12271
2021-01-02 10:00;2021-01-02 11:00;DK2;123;12290
2021-01-02 11:00;2021-01-02 12:00;DK2;123;12003
2021-01-02 12:00;2021-01-02 13:00;DK2;123;11763
2021-01-02 13:00;2021-01-02 14:00;DK2;123;11760
2021-01-02 14:00;2021-01-02 15:00;DK2;123;12169
2021-01-02 15:00;2021-01-02 16:00;DK2;123;12947
2021-01-02 16:00;2021-01-02 17:00;DK2;123;14016
2021-01-02 17:00;2021-01-02 18:00;DK2;123;14110
